0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
？,カッコ,よく,ない,？,ねえ,ね,え,かっこよく,ない,？,？？？？？？(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カン,ファ,の,ロゴ,出し,まし,た,～,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
と,は,言っ,て,ない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
を,増やす,より,自分,で,軽い,クライアント,作っ,た,ほう,が,安上がり,だ,し,楽しい,よ,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
くん,も,重い,けど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
で,公式,クライアント,使っ,てる,とき,の,タスク,マネージャー,見る,と,不安,に,なる,よ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,slack,-,client,使っ,て,Slack,クライアント,が,作れる,らしい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
めっちゃ,軽い,っぽい,けど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure,の,開発,とか,に,強かっ,たり,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
で,環境,構築,する,こと,を,考える,と,VisualStudio,Installer,は,有能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
と,かも,一,発,で,入る,し,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
そのもの,より,も,インストーラー,の,有能,さ,の,ほう,が,あれ,かも,しれ,ない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
の,JetBrains,製品,より,いい,ところ,ってな,ん,だろ,う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
で,は,クラッキング,な,の,か,これ,も,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ライブ,の,奴,は,ただ,の,ドメイン,乗っ取り,って,話,じゃ,なかっ,た,っけ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
から,脚本,は,マーク,ダウン,か,なあ,と,思っ,た,けど,、,はり,とら,に,挙げる,こと,を,考える,と,あれ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
た,よかっ,た,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slack,とか,に,挙げ,て,た,の,と,はり,とら,の,分,で,リカバリー,でき,そう,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
！,学校,の,OneDrive,から,脚本,とか,逃がし,て,なかっ,た,！！！！！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
か,わから,ん,けど,学校,メアド,切ら,れ,た,し,一応,office,online,自分,の,メアド,で,登録,する,か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,分,(,compass,に,書い,て,ある,と,思う,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
、,使え,ば,使う,ほど,最高,の,デザイン,ツール,で,ある,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
キャン,△,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
初めて,なん,だ,が,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
に,堂々,と,載せ,られる,よう,な,使用,実績,を,伴う,デザイン,は,これ,が,初めて,かも,しれ,ん,な,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
な,ので,高尾,と,いえ,ば,山,という,発想,に,基づい,て,ロゴ,を,作り,まし,た,、,天才,な,ので,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好き,だ,よ,ね,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
